states,animaltesting_numbers
Alabama,8,877,,,,,
Alaska,51,857,,,,,
Arizona,8,263,,,,,
Arkansas,3,537,,,,,
California,94,788,,,,,
Colorado,9,766,,,,,
Connecticut,4,301,,,,,
Delaware,12,902,,,,,
Florida,15,203,,,,,
Georgia,30,089,,,,,
Hawaii,229,,,,,
Idaho,741,,,,,
Illinois,18,264,,,,,
Indiana,610,496,,,,,
Iowa,27,388,,,,,
Kansas,5,365,,,,,
Kentucky,2,702,,,,,
Louisiana,14,119,,,,,
Maine,1,393,,,,,
Maryland,51,857,,,,,
Massachusetts,84,122,,,,,
Michigan,48,769,,,,,
Minnesota,46,838,,,,,
Mississippi,1,339,,,,,
Missouri,45,135,,,,,
Montana,445,,,,,
Nebraska,3,461,,,,,
Nevada,3,624,,,,,
New Hampshire,637,,,,,
New Jersey,73,493,,,,,
New Mexico,2,666,,,,,
New York,17,537,,,,,
North Carolina,28,278,,,,,
North Dakota,1,139,,,,,
Ohio,90,536,,,,,
Oklahoma,7,443,,,,,
Oregon,10,550,,,,,
Pennsylvania,35,725,,,,,
Rhode Island,2,104,,,,,
South Carolina,9,026,,,,,
South Dakota,1,385,,,,,
Tennessee,6,188,,,,,
Texas,53,226,,,,,
Utah,6,118,,,,,
Virginia,6,053,,,,,
Vermont,2,909,,,,,
Washington,36,857,,,,,
West Virginia,309,,,,,
Wisconsin,49,970,,,,,
Wyoming,1,176,,,,,
