states,petownership_percentage,dogownership_percentage,catownership_percentage
Alabama,59.80%,46.90%,26.10%,,,,,
Alaska,NaN%,NaN%,NaN%,,,,,
Arizona,58.00%,43.00%,26.4,,,,,0%
Arkansas,69.00%,51.60%,34.80%,,,,,
California,40.10%,0.00%,22.90%,,,,,
Colorado,47.20%,27.10%,0.00%,,,,,
Connecticut,49.90%,24.00%,26.70%,,,,,
Delaware,57.90%,42.20%,24.10%,,,,,
Florida,56.00%,39.80%,24.20%,,,,,
Georgia,51.10%,36.70%,20.40%,,,,,
Hawaii,NaN%,NaN%,NaN%,,,,,
Idaho,69.90%,33.30%,34.40%,,,,,
Illinois,48.60%,32.40%,21.00%,,,,,
Indiana,69.20%,49.40%,37.50%,,,,,
Iowa,59.40%,36.30%,35.60%,,,,,
Kansas,62.80%,43.10%,32.40%,,,,,
Kentucky,64.10%,46.50%,32.20%,,,,,
Louisiana,54.40%,38.30%,19.00%,,,,,
Maine,63.50%,35.90%,43.60%,,,,,
Maryland,48.60%,30.20%,18.60%,,,,,
Massachusetts,49.10%,28.90%,23.50%,,,,,
Michigan,62.40%,41.90%,31.20%,,,,,
Minnesota,54.00%,35.50%,26.50%,,,,,
Mississippi,65.50%,51.00%,29.10%,,,,,
Missouri,63.50%,45.10%,0.00%,,,,,
Montana,61.90%,51.90%,22.80%,,,,,
Nebraska,51.30%,47.10%,30.90%,,,,,
Nevada,53.30%,36.80%,23.10%,,,,,
New Hampshire,51.80%,23.70%,36.40%,,,,,
New Jersey,47.40%,29.10%,18.90%,,,,,
New Mexico,60.10%,39.40%,25.20%,,,,,
New York,49.70%,27.00%,21.10%,,,,,
North Carolina,58.60%,41.30%,26.50%,,,,,
North Dakota,63.70%,44.30%,24.80%,,,,,
Ohio,62.40%,37.90%,30.70%,,,,,
Oklahoma,65.00%,47.70%,28.40%,,,,,
Oregon,59.20%,37.80%,30.00%,,,,,
Pennsylvania,60.60%,38.90%,28.90%,,,,,
Rhode Island,45.40%,25.80%,16.70%,,,,,
South Carolina,62.00%,45.30%,25.20%,,,,,
South Dakota,46.40%,32.10%,26.60%,,,,,
Tennessee,61.70%,47.00%,30.90%,,,,,
Texas,58.20%,43.40%,20.50%,,,,,
Utah,58.50%,36.20%,24.70%,,,,,
Virginia,55.50%,35.60%,23.90%,,,,,
Vermont,70.00%,28.30%,44.60%,,,,,
Washington,62.70%,42.80%,30.50%,,,,,
West Virginia,70.70%,49.60%,37.70%,,,,,
Wisconsin,59.00%,33.60%,32.40%,,,,,
Wyoming,71.80%,36.00%,30.00%,,,,,
