states,animalprotection_rankings,,,,,
Alabama,37,,,,,
Alaska,44,,,,,
Arizona,11,,,,,
Arkansas,34,,,,,
California,3,,,,,
Colorado,10,,,,,
Connecticut,30,,,,,
Delaware,15,,,,,
Florida,16,,,,,
Georgia,32,,,,,
Hawaii,36,,,,,
Idaho,42,,,,,
Illinois,1,,,,,
Indiana,18,,,,,
Iowa,49,,,,,
Kansas,19,,,,,
Kentucky,50,,,,,
Louisiana,21,,,,,
Maine,4,,,,,
Maryland,43,,,,,
Massachusetts,14,,,,,
Michigan,6,,,,,
Minnesota,22,,,,,
Mississippi,40,,,,,
Missouri,31,,,,,
Montana,39,,,,,
Nebraska,25,,,,,
Nevada,8,,,,,
New Hampshire,17,,,,,
New Jersey,9,,,,,
New Mexico,45,,,,,
New York,38,,,,,
North Carolina,3,,,,,
North Dakota,46,,,,,
Ohio,27,,,,,
Oklahoma,20,,,,,
Oregon,2,,,,,
Pennsylvania,24,,,,,
Rhode Island,5,,,,,
South Carolina,35,,,,,
South Dakota,41,,,,,
Tennessee,17,,,,,
Texas,29,,,,,
Utah,47,,,,,
Vermont,26,,,,,
Virginia,23,,,,,
Washington,12,,,,,
West Virginia,7,,,,,
Wisconsin,29,,,,,
Wyoming,48,,,,,
